,date,price,bubble_size,bubble_color,from_address,to_address,punk_id,img_url,punk_skin_tone
5575,2021-01-03,4.99,3,#933e18,\xaae8c50d76c76fb8947c9a203103d28b55862977,\x865c964edc75e0f1f5c0631ea068baac2e490e57,5544,https://www.larvalabs.com/cryptopunks/cryptopunk5544.png,Dark
5576,2021-08-15,42.0,3,#933e18,\x22fa8cc33a42320385cbd3690ed60a021891cb32,\x53311150764f7eb2999022ed1aa5a8c17bb5fc57,5544,https://www.larvalabs.com/cryptopunks/cryptopunk5544.png,Dark
5578,2021-04-16,23.3,4,#dc5d24,\x0a4eafeb533d4111a1fe3a8b323c468976ac2323,\xb70c1a3242e363b4772b83acdc10df94e6c3fb02,9881,https://www.larvalabs.com/cryptopunks/cryptopunk9881.png,Medium
5579,2021-05-03,31.9,4,#dc5d24,\xb70c1a3242e363b4772b83acdc10df94e6c3fb02,\xcf8401fabc11524de68ca98e52b7459e52b0ce89,9881,https://www.larvalabs.com/cryptopunks/cryptopunk9881.png,Medium
5582,2021-02-17,15.0,2,#933e18,\x382681f262e3ab062c89298609372b6ae9d8e52a,\x73e788a14e414b2e1d921d966d2b517aa6790518,2326,https://www.larvalabs.com/cryptopunks/cryptopunk2326.png,Dark
5584,2022-02-06,70.0,3,#f6773d,\x9a78d4f9e4de53742ac86718df95dfa0035355eb,\x51eac3daa1c34f5c2874aa62097ac9965a180b6d,3906,https://www.larvalabs.com/cryptopunks/cryptopunk3906.png,Light
5585,2022-03-11,79.99,3,#f6773d,\xcc2a855946a3c20683858fe6ee15acf8b836f0b3,\xeea28a4bbfdaf3cc972916cb7bb6b5cd92844297,3906,https://www.larvalabs.com/cryptopunks/cryptopunk3906.png,Light
5586,2022-04-16,71.69,3,#f6773d,\x0bfff40545a2250c3f11993e7b75dbbcb11e36ac,\xeb0a6613c89c0ad64ab5958c5f73bc6605a67cee,3906,https://www.larvalabs.com/cryptopunks/cryptopunk3906.png,Light
5588,2022-02-06,71.0,2,#f9a47e,\xaf51f5741c5d5b63cc0fbb536e0057c73040db54,\x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,1045,https://www.larvalabs.com/cryptopunks/cryptopunk1045.png,Albino
5589,2022-02-13,76.95,2,#f9a47e,\x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,\xa421887c6596d3cbaba4dda15d6cbf28b46005d3,1045,https://www.larvalabs.com/cryptopunks/cryptopunk1045.png,Albino
5590,2022-03-13,85.0,2,#f9a47e,\xa421887c6596d3cbaba4dda15d6cbf28b46005d3,\x470de4d9f1bdd9f031fb45c093a7dc650223eeec,1045,https://www.larvalabs.com/cryptopunks/cryptopunk1045.png,Albino
5597,2021-01-23,5.99,3,#f6773d,\x4595ff64328faf80a8cf0d52355639984b6af23c,\xea9724fe1b46b3e397e3b00a62323e49c867cacc,6982,https://www.larvalabs.com/cryptopunks/cryptopunk6982.png,Light
5599,2021-03-13,26.95,4,#f6773d,\xc04f55c388f4aca9de1e88e0617a9bc3ecef0885,\xe4446d52e2bdb3e31470643ab1753a4c2aeee3ea,7864,https://www.larvalabs.com/cryptopunks/cryptopunk7864.png,Light
5600,2021-04-16,23.79,4,#f6773d,\xe4446d52e2bdb3e31470643ab1753a4c2aeee3ea,\x80e2df6a4a90a894987370c09232004c08fbd77e,7864,https://www.larvalabs.com/cryptopunks/cryptopunk7864.png,Light
5607,2021-07-11,21.0,3,#933e18,\x1c051112075feaee33bcdbe0984c2bb0db53cf47,\x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,8919,https://www.larvalabs.com/cryptopunks/cryptopunk8919.png,Dark
5608,2021-07-18,22.25,3,#933e18,\x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,\xd7be28bab7d7eb52c74d9d46c1ccc1edfbddb1aa,8919,https://www.larvalabs.com/cryptopunks/cryptopunk8919.png,Dark
5613,2021-03-14,35.0,4,#dc5d24,\xe1bb6ef5dd407404bf400dfab5b17033b208bd82,\x9cfd46caf2eddb8ff04086f04e5743e4ba98a5d5,5175,https://www.larvalabs.com/cryptopunks/cryptopunk5175.png,Medium
5614,2021-07-23,39.5,4,#dc5d24,\xb5696e4057b9ba76616cecb5a537eaca7b3cdf54,\x052564eb0fd8b340803df55def89c25c432f43f4,5175,https://www.larvalabs.com/cryptopunks/cryptopunk5175.png,Medium
5615,2021-10-07,160.0,4,#dc5d24,\x052564eb0fd8b340803df55def89c25c432f43f4,\x3bc9c79e1166c9ece87dda6c8b4cef8001f37c77,5175,https://www.larvalabs.com/cryptopunks/cryptopunk5175.png,Medium
5617,2021-03-11,19.99,2,#f6773d,\xe1bb6ef5dd407404bf400dfab5b17033b208bd82,\xc96de7ba760c8f46cf38b706ed96785c80fc08da,8178,https://www.larvalabs.com/cryptopunks/cryptopunk8178.png,Light
5618,2021-04-08,24.9,2,#f6773d,\xc96de7ba760c8f46cf38b706ed96785c80fc08da,\x8a3d2efdb70c3fa23e0f38bdcb95c4f39ad1e127,8178,https://www.larvalabs.com/cryptopunks/cryptopunk8178.png,Light
5619,2021-07-30,30.0,2,#f6773d,\x8a3d2efdb70c3fa23e0f38bdcb95c4f39ad1e127,\xb2ecf0a0d4361e243dcc5206b71aaf2dff0b805d,8178,https://www.larvalabs.com/cryptopunks/cryptopunk8178.png,Light
5620,2022-06-19,69.69,2,#f6773d,\x228d3c657b8e59fc76c4e38b86f2e4c42cd3af30,\x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,8178,https://www.larvalabs.com/cryptopunks/cryptopunk8178.png,Light
