punk_id,type,gender,skin_tone,attr_count,attributes,img_dir,avg_price,img_url
58,Human,Male,Medium,2,"['Normal Beard Black', 'Hoodie']",../punk_imgs/58.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk58.png
59,Human,Male,Albino,2,"['Muttonchops', 'Cowboy Hat']",../punk_imgs/59.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk59.png
60,Human,Female,Light,2,"['Stringy Hair', 'Purple Lipstick']",../punk_imgs/60.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk60.png
61,Human,Female,Light,1,['Dark Hair'],../punk_imgs/61.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk61.png
62,Human,Female,Dark,4,"['Hot Lipstick', 'Earring', 'Mohawk Dark', 'Clown Eyes Blue']",../punk_imgs/62.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk62.png
63,Human,Male,Dark,3,"['Earring', 'Shaved Head', 'Small Shades']",../punk_imgs/63.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk63.png
64,Human,Female,Medium,2,"['Straight Hair Blonde', 'Purple Lipstick']",../punk_imgs/64.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk64.png
65,Human,Female,Medium,2,"['Eye Mask', 'Headband']",../punk_imgs/65.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk65.png
66,Human,Female,Dark,1,['Tassle Hat'],../punk_imgs/66.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk66.png
67,Human,Female,Dark,3,"['Half Shaved', 'Purple Lipstick', '3D Glasses']",../punk_imgs/67.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk67.png
68,Human,Male,Dark,2,"['Nerd Glasses', 'Do-rag']",../punk_imgs/68.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk68.png
69,Human,Male,Medium,2,"['Normal Beard Black', 'Fedora']",../punk_imgs/69.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk69.png
70,Human,Female,Medium,4,"['Crazy Hair', 'Regular Shades', 'Earring', 'Cigarette']",../punk_imgs/70.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk70.png
71,Human,Female,Light,3,"['Green Eye Shadow', 'Half Shaved', 'Purple Lipstick']",../punk_imgs/71.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk71.png
72,Human,Male,Dark,4,"['Fedora', 'Earring', 'Nerd Glasses', 'Normal Beard']",../punk_imgs/72.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk72.png
73,Human,Female,Medium,3,"['Black Lipstick', 'Bandana', 'Earring']",../punk_imgs/73.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk73.png
74,Human,Male,Dark,3,"['Shadow Beard', 'Earring', 'Mohawk Dark']",../punk_imgs/74.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk74.png
75,Human,Male,Light,3,"['Shadow Beard', 'Knitted Cap', 'Eye Patch']",../punk_imgs/75.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk75.png
76,Human,Male,Light,2,"['Cigarette', 'Do-rag']",../punk_imgs/76.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk76.png
77,Human,Male,Dark,2,"['Stringy Hair', 'Handlebars']",../punk_imgs/77.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk77.png
78,Human,Male,Medium,3,"['Handlebars', 'Knitted Cap', 'Eye Patch']",../punk_imgs/78.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk78.png
79,Human,Male,Dark,2,"['Normal Beard', 'Mohawk Dark']",../punk_imgs/79.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk79.png
80,Human,Male,Albino,2,"['Wild Hair', 'Mustache']",../punk_imgs/80.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk80.png
81,Human,Male,Light,2,"['Headband', 'Small Shades']",../punk_imgs/81.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk81.png
82,Human,Male,Albino,1,['Headband'],../punk_imgs/82.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk82.png
83,Human,Male,Light,3,"['Vape', 'Shaved Head', 'Small Shades']",../punk_imgs/83.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk83.png
84,Human,Male,Light,3,"['Messy Hair', 'Big Shades', 'Earring']",../punk_imgs/84.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk84.png
85,Human,Female,Dark,1,['Crazy Hair'],../punk_imgs/85.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk85.png
86,Human,Female,Dark,4,"['Knitted Cap', 'Green Eye Shadow', 'Hot Lipstick', 'Earring']",../punk_imgs/86.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk86.png
87,Human,Male,Light,2,"['Hoodie', 'Earring']",../punk_imgs/87.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk87.png
88,Human,Female,Light,2,"['Cap', 'Hot Lipstick']",../punk_imgs/88.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk88.png
89,Human,Female,Dark,1,['Choker'],../punk_imgs/89.png,19.99,https://www.larvalabs.com/cryptopunks/cryptopunk89.png
90,Human,Male,Medium,2,"['Hoodie', 'Eye Patch']",../punk_imgs/90.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk90.png
91,Human,Female,Light,2,"['Clown Nose', 'Straight Hair']",../punk_imgs/91.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk91.png
92,Human,Female,Light,3,"['Pink With Hat', 'Purple Lipstick', 'Nerd Glasses']",../punk_imgs/92.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk92.png
93,Human,Female,Light,1,['Bandana'],../punk_imgs/93.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk93.png
94,Human,Female,Dark,3,"['Pink With Hat', 'Regular Shades', 'Earring']",../punk_imgs/94.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk94.png
95,Human,Male,Medium,2,"['Earring', 'Mohawk']",../punk_imgs/95.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk95.png
96,Human,Female,Light,1,['Blonde Bob'],../punk_imgs/96.png,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk96.png
