punk_id,type,gender,skin_tone,count,accessories,img_dir
204, Human, Male, Medium,2, Crazy Hair / Regular Shades,./imgs/204.png
205, Human, Male, Medium,3, Normal Beard Black / Big Shades / Mohawk Dark,./imgs/205.png
206, Human, Male, Light,3, Cigarette / Clown Nose / Cap Forward,./imgs/206.png
207, Human, Male, Light,3, Peak Spike / Pipe / Eye Patch,./imgs/207.png
208, Human, Male, Medium,3, Earring / Shaved Head / 3D Glasses,./imgs/208.png
209, Human, Female, Dark,2, Hot Lipstick / Stringy Hair,./imgs/209.png
210, Human, Female, Medium,2, Earring / Straight Hair Dark,./imgs/210.png
211, Human, Male, Dark,2, Mohawk Thin / Goat,./imgs/211.png
212, Human, Female, Dark,2, Crazy Hair / Hot Lipstick,./imgs/212.png
213, Human, Female, Medium,1, Crazy Hair,./imgs/213.png
214, Human, Male, Dark,2, Front Beard Dark / Mohawk,./imgs/214.png
215, Human, Female, Medium,1, Mohawk,./imgs/215.png
216, Human, Male, Medium,1, Bandana,./imgs/216.png
217, Human, Male, Medium,3, Chinstrap / Earring / Mohawk Dark,./imgs/217.png
218, Human, Male, Light,4, Cap / Handlebars / Regular Shades / Mole,./imgs/218.png
219, Human, Female, Dark,4, Bandana / Rosy Cheeks / Earring / Clown Eyes Blue,./imgs/219.png
220, Human, Male, Albino,2, Big Shades / Headband,./imgs/220.png
221, Human, Male, Dark,4, Stringy Hair / Cigarette / Muttonchops / Classic Shades,./imgs/221.png
222, Human, Male, Light,3, Pipe / Do-rag / Small Shades,./imgs/222.png
223, Human, Male, Light,3, Nerd Glasses / Normal Beard / Crazy Hair,./imgs/223.png
224, Human, Male, Light,4, Cigarette / Earring / Nerd Glasses / Headband,./imgs/224.png
225, Human, Female, Medium,3, Orange Side / Hot Lipstick / Earring,./imgs/225.png
226, Human, Female, Medium,1, Hot Lipstick,./imgs/226.png
227, Human, Female, Medium,1, Wild White Hair,./imgs/227.png
228, Human, Male, Medium,2, Peak Spike / Small Shades,./imgs/228.png
229, Human, Male, Light,2, Cigarette / Messy Hair,./imgs/229.png
230, Human, Male, Dark,2, Luxurious Beard / Knitted Cap,./imgs/230.png
231, Human, Female, Medium,3, Pipe / Stringy Hair / Earring,./imgs/231.png
232, Human, Female, Dark,2, Blue Eye Shadow / Wild Hair,./imgs/232.png
233, Human, Female, Albino,2, Bandana / Hot Lipstick,./imgs/233.png
234, Human, Male, Light,2, Nerd Glasses / Knitted Cap,./imgs/234.png
235, Human, Male, Light,2, Cigarette / Frumpy Hair,./imgs/235.png
236, Human, Male, Light,2, Vampire Hair / Muttonchops,./imgs/236.png
237, Human, Male, Dark,2, Mohawk / Regular Shades,./imgs/237.png
238, Human, Female, Medium,2, Clown Eyes Green / Straight Hair Dark,./imgs/238.png
239, Human, Male, Dark,3, Frown / Goat / Mohawk,./imgs/239.png
240, Human, Female, Medium,2, Big Shades / Straight Hair Blonde,./imgs/240.png
241, Human, Female, Light,1, Wild Blonde,./imgs/241.png
242, Human, Female, Dark,2, Black Lipstick / Stringy Hair,./imgs/242.png
243, Human, Male, Light,4, Cigarette / Front Beard / Police Cap / Earring,./imgs/243.png
244, Human, Female, Light,3, Regular Shades / Wild Hair / Purple Lipstick,./imgs/244.png
245, Human, Female, Dark,1, Dark Hair,./imgs/245.png
246, Human, Male, Albino,3, Bandana / Luxurious Beard / Earring,./imgs/246.png
247, Human, Female, Dark,2, Green Eye Shadow / Mohawk Dark,./imgs/247.png
248, Human, Female, Dark,2, Messy Hair / Purple Eye Shadow,./imgs/248.png
249, Human, Female, Light,1, Orange Side,./imgs/249.png
250, Human, Female, Medium,3, Clown Eyes Green / Frumpy Hair / Earring,./imgs/250.png
251, Human, Female, Light,2, Green Eye Shadow / Mohawk Dark,./imgs/251.png
252, Human, Male, Albino,2, Cap Forward / Mole,./imgs/252.png
253, Human, Female, Dark,2, Clown Eyes Green / Blonde Short,./imgs/253.png
254, Human, Male, Light,1, Fedora,./imgs/254.png
255, Human, Male, Light,2, Mustache / Shaved Head,./imgs/255.png
256, Human, Male, Dark,4, Fedora / Vape / Earring / Eye Patch,./imgs/256.png
257, Human, Male, Light,2, Cap / Frown,./imgs/257.png
258, Human, Male, Medium,2, Cap Forward / Handlebars,./imgs/258.png
259, Human, Male, Light,3, Eye Mask / Cap Forward / Earring,./imgs/259.png
260, Human, Male, Dark,2, Purple Hair / 3D Glasses,./imgs/260.png
261, Human, Female, Dark,2, Wild White Hair / Black Lipstick,./imgs/261.png
262, Human, Female, Dark,2, Blonde Short / Regular Shades,./imgs/262.png
263, Human, Male, Albino,2, Messy Hair / Muttonchops,./imgs/263.png
264, Human, Female, Albino,2, Wild White Hair / Earring,./imgs/264.png
265, Human, Male, Dark,3, Cap Forward / Gold Chain / Earring,./imgs/265.png
266, Human, Male, Dark,3, Earring / Do-rag / Small Shades,./imgs/266.png
267, Human, Male, Dark,2, Clown Nose / Fedora,./imgs/267.png
268, Human, Female, Light,1, Knitted Cap,./imgs/268.png
269, Human, Male, Dark,4, Luxurious Beard / Hoodie / Earring / Small Shades,./imgs/269.png
270, Human, Female, Medium,2, Red Mohawk / Clown Eyes Blue,./imgs/270.png
271, Human, Male, Medium,1, Stringy Hair,./imgs/271.png
272, Human, Male, Medium,2, Messy Hair / Buck Teeth,./imgs/272.png
273, Human, Male, Light,2, Cap Forward / Big Shades,./imgs/273.png
274, Human, Male, Light,4, Cap / Handlebars / Earring / Regular Shades,./imgs/274.png
275, Human, Female, Medium,3, Purple Eye Shadow / Stringy Hair / Purple Lipstick,./imgs/275.png
276, Human, Female, Light,1, Crazy Hair,./imgs/276.png
277, Human, Female, Light,1, Red Mohawk,./imgs/277.png
278, Human, Female, Albino,2, Black Lipstick / Straight Hair Dark,./imgs/278.png
279, Human, Female, Medium,3, Blue Eye Shadow / Straight Hair Blonde / Purple Lipstick,./imgs/279.png
280, Human, Male, Albino,1, Earring,./imgs/280.png
281, Human, Male, Light,0, ,./imgs/281.png
282, Human, Female, Albino,2, Classic Shades / Straight Hair Dark,./imgs/282.png
283, Human, Female, Light,2, Hot Lipstick / Frumpy Hair,./imgs/283.png
284, Human, Male, Albino,1, Mohawk Thin,./imgs/284.png
285, Human, Female, Light,2, Dark Hair / Purple Lipstick,./imgs/285.png
286, Human, Male, Albino,2, Wild Hair / Goat,./imgs/286.png
