punk_id,type,gender,skin_tone,attr_count,img_url,avg_price,category,bubble_color
5089,Human,Male,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5089.png,25.1328,Human Male,#DB9065
5090,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5090.png,19.7725,Human Male,#F2A359
5091,Human,Male,Albino,2,https://www.larvalabs.com/cryptopunks/cryptopunk5091.png,63.9975,Human Male,#F2DC5D
5092,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5092.png,0.5,Human Male,#F2A359
5094,Human,Female,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5094.png,57.675,Human Female,#DB9065
5096,Human,Female,Medium,4,https://www.larvalabs.com/cryptopunks/cryptopunk5096.png,34.5,Human Female,#DB9065
5098,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5098.png,20.87,Human Male,#A4031F
5101,Human,Male,Dark,5,https://www.larvalabs.com/cryptopunks/cryptopunk5101.png,58.578,Human Male,#A4031F
5103,Human,Male,Dark,3,https://www.larvalabs.com/cryptopunks/cryptopunk5103.png,87.475,Human Male,#A4031F
5104,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5104.png,32.92250025,Human Male,#F2A359
5105,Human,Female,Medium,3,https://www.larvalabs.com/cryptopunks/cryptopunk5105.png,22.9925,Human Female,#DB9065
5106,Human,Female,Medium,4,https://www.larvalabs.com/cryptopunks/cryptopunk5106.png,0.13,Human Female,#DB9065
5107,Human,Male,Light,4,https://www.larvalabs.com/cryptopunks/cryptopunk5107.png,0.25,Human Male,#F2A359
5108,Human,Female,Medium,5,https://www.larvalabs.com/cryptopunks/cryptopunk5108.png,91.31666666666666,Human Female,#DB9065
5110,Human,Male,Light,4,https://www.larvalabs.com/cryptopunks/cryptopunk5110.png,28.99,Human Male,#F2A359
5113,Human,Male,Light,3,https://www.larvalabs.com/cryptopunks/cryptopunk5113.png,88.0,Human Male,#F2A359
5116,Human,Male,Medium,2,https://www.larvalabs.com/cryptopunks/cryptopunk5116.png,100.0,Human Male,#DB9065
