punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,avg_price,img_url
610,Human,Male,Medium,3,"['Cap Forward', 'Big Shades', 'Earring']",#DB9065,86.46,https://www.larvalabs.com/cryptopunks/cryptopunk610.png
611,Human,Female,Medium,1,['Cap'],#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk611.png
612,Human,Male,Albino,3,"['Shadow Beard', 'VR', 'Mohawk Dark']",#F2DC5D,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk612.png
613,Human,Male,Light,2,"['Frumpy Hair', 'Chinstrap']",#F2A359,64.89666666666666,https://www.larvalabs.com/cryptopunks/cryptopunk613.png
614,Human,Female,Albino,1,['Headband'],#F2DC5D,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk614.png
615,Human,Male,Medium,2,"['Wild Hair', 'Small Shades']",#DB9065,29.99,https://www.larvalabs.com/cryptopunks/cryptopunk615.png
616,Human,Female,Light,3,"['Straight Hair Blonde', 'Hot Lipstick', 'Classic Shades']",#F2A359,65.6225,https://www.larvalabs.com/cryptopunks/cryptopunk616.png
617,Human,Male,Dark,3,"['Hoodie', 'Normal Beard', 'Small Shades']",#A4031F,61.7,https://www.larvalabs.com/cryptopunks/cryptopunk617.png
618,Human,Female,Dark,2,"['Clown Eyes Green', 'Wild Hair']",#A4031F,93.896,https://www.larvalabs.com/cryptopunks/cryptopunk618.png
619,Human,Male,Medium,4,"['Front Beard', 'Frumpy Hair', 'Earring', 'Eye Patch']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk619.png
620,Human,Female,Medium,2,"['Horned Rim Glasses', 'Straight Hair']",#DB9065,27.395999999999997,https://www.larvalabs.com/cryptopunks/cryptopunk620.png
621,Human,Male,Medium,5,"['Peak Spike', 'Earring', 'Normal Beard', 'Smile', 'Eye Patch']",#DB9065,0.0,https://www.larvalabs.com/cryptopunks/cryptopunk621.png
622,Human,Male,Dark,4,"['Frumpy Hair', 'Earring', 'Horned Rim Glasses', 'Big Beard']",#A4031F,59.352500000000006,https://www.larvalabs.com/cryptopunks/cryptopunk622.png
