,date,from,to,eth_price,punk_id,type,gender,skin_tone,attr_count,attributes,skin_tone_color,img_url
2480,2022-04-02,4981,1291,0.0,2447,Human,Female,Light,4,"['Black Lipstick', 'Stringy Hair', 'Earring', 'Clown Eyes Blue']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk2447.png
2481,2022-04-02,2642,4981,0.0,2447,Human,Female,Light,4,"['Black Lipstick', 'Stringy Hair', 'Earring', 'Clown Eyes Blue']",#F2A359,https://www.larvalabs.com/cryptopunks/cryptopunk2447.png
2482,2018-01-19,1303,15,0.17,3975,Human,Female,Medium,3,"['Tassle Hat', 'Hot Lipstick', 'Earring']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk3975.png
2483,2018-01-19,343,4866,0.11,1369,Human,Female,Medium,2,"['Knitted Cap', 'Clown Eyes Blue']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1369.png
2484,2020-11-24,4348,135,3.3,1369,Human,Female,Medium,2,"['Knitted Cap', 'Clown Eyes Blue']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1369.png
2485,2020-12-22,3823,744,4.3,1369,Human,Female,Medium,2,"['Knitted Cap', 'Clown Eyes Blue']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1369.png
2486,2021-02-14,4916,2753,8.1,1369,Human,Female,Medium,2,"['Knitted Cap', 'Clown Eyes Blue']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1369.png
2487,2021-02-18,2753,2596,14.0,1369,Human,Female,Medium,2,"['Knitted Cap', 'Clown Eyes Blue']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1369.png
2488,2021-06-29,1123,3980,16.24,1369,Human,Female,Medium,2,"['Knitted Cap', 'Clown Eyes Blue']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1369.png
2489,2021-07-10,3980,951,18.47,1369,Human,Female,Medium,2,"['Knitted Cap', 'Clown Eyes Blue']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1369.png
2490,2021-07-30,3390,1291,0.0,1369,Human,Female,Medium,2,"['Knitted Cap', 'Clown Eyes Blue']",#DB9065,https://www.larvalabs.com/cryptopunks/cryptopunk1369.png
